question,retrieved_source,answer,relevant_context,grounded,notes
What is machine learning?,Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 20); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 21); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 60); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 9),"Part I, “The Fundamentals of Machine Learning,” covers the fundamentals of machine learning.",,,
What is the difference between supervised and unsupervised learning?,Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 339); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 35); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 37); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 499),"unsupervised, semi-supervised learning is a more advanced approach to machine learning.",,,
What are the four main categories of machine learning systems?,Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 1054); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 1102); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 1135); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 65),Learn_Keras_and_Tens.pdf | page 65 | Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf | page 1054-c2],,,
What are common challenges of machine learning?,Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 25); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 51); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 66); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 9),speech.,,,
"What is the difference between a training set, validation set, and test set?",Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 604); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 63); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 64); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 66),[Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf | page 64 | Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf | page 66 | Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf | page 66-c1] a train-dev set to evaluate overfitting; the real data is then used to evaluate data mismatch (dev set) and to evaluate the final model’s performance (test set) [Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf | page 66 | Hands-On_Machine_Learning_with_Scikit-Learn_,,,
What is overfitting and how can it be reduced?,Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 229); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 57); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 58),a model's number of attributes.,,,
What is underfitting and how can it be addressed?,Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 139); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 58); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 59); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 60),be able to make good predictions on new cases.,,,
Why is feature scaling important for gradient descent?,Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 213); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 408); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 502); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 878),"Gradient descent, the cost function will look like an elongated bowl.",,,
What is the difference between batch gradient descent and stochastic gradient descent?,Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 217); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 221); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 222),walk around.,,,
What is regularization and why is it useful?,Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 230); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 401); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 404); Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf (page 509),[Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf | page 230 | Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf | page 401 | Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf | page 401 | Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf | page 401 | Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_Tens.pdf | page 401 | Hands-On_Machine_Learning_with_Scikit-Learn_Keras_and_,,,
